control_id,title,family,applicable,normative_strength,mandatory,criticality,note,status
EAP-CTRL-001,Integrity-protected evidence chain,Evidence and Assurance,True,MUST,True,critical,External witnessing or anchoring for evidence chain heads strongly recommended.,
EAP-CTRL-002,Key custody and rotation,Evidence and Assurance,True,MUST,True,high,Strict rotation schedule and documented compromise playbook required.,
EAP-CTRL-003,Verifier independence,Evidence and Assurance,True,MUST,True,high,Independent verification tooling or documented process required.,
EAP-CTRL-004,Minimum event fields for evidence objects,Governance,True,MUST,True,high,Monotonic sequencing and cross-node ordering strategy required.,
EAP-CTRL-005,Declared ordering model,Governance,True,MUST,True,high,Declared cross-node ordering strategy required.,
EAP-CTRL-006,Replay and duplication detection,Security,True,MUST,True,high,"Replay detection must be demonstrated, not only documented.",
EAP-CTRL-007,Controlled invocation surface,Enforcement,True,MUST,True,critical,Strict network policy; enforcement layer must be the only invocation path.,
EAP-CTRL-008,Change control for enforcement layer,Enforcement,True,MUST,True,high,,
EAP-CTRL-009,Threat model declaration,Governance,True,MUST,True,high,All four attacker class categories must be addressed.,
EAP-CTRL-010,Field-level privacy protection,Security,True,MUST,True,high,Field-level encryption plus redaction-by-class required.,
EAP-CTRL-011,Auditor access governance,Oversight,True,MUST,True,high,Audited evidence access with export controls required.,
EAP-CTRL-012,Retention-by-class policy,Governance,True,MUST,True,medium,Retention policy must align to jurisdiction and criticality.,
EAP-CTRL-013,Evidence store incident posture,Resilience,True,MUST,True,high,,
EAP-CTRL-014,Bypass test suite,Forensics and Reconstruction,True,MUST,True,critical,Quarterly adversarial bypass tests plus registry tampering simulations required.,
EAP-CTRL-015,Evidence reconstruction drill,Forensics and Reconstruction,True,MUST,True,high,Semi-annual drills; at least one must assume vendor tooling unavailable.,
EAP-CTRL-016,Kill-switch test and dual-control enforcement,Resilience,True,MUST,True,critical,Dual-control enforced; live-fire exercise in controlled environment required.,
EAP-CTRL-017,Operator-of-Record and Approver-of-Record role definitions,Oversight,True,MUST,True,high,Three-way role separation required.,
EAP-CTRL-018,Separation of duties,Oversight,True,MUST,True,high,Full three-way SoD required.,
EAP-CTRL-019,Dual control for high-impact actions,Oversight,True,MUST,True,critical,,
EAP-CTRL-020,Vendor and integration dependency documentation,Vendor and Integration,True,MUST,True,medium,,
