control_id,title,family,applicable,normative_strength,mandatory,criticality,note,status
EAP-CTRL-001,Integrity-protected evidence chain,Evidence and Assurance,True,MUST,True,critical,Full append-only hash-chained log with signed bundle manifests required at L2.,
EAP-CTRL-002,Key custody and rotation,Evidence and Assurance,True,MUST,True,high,KMS/HSM custody + documented rotation and compromise procedure required.,
EAP-CTRL-003,Verifier independence,Evidence and Assurance,True,MUST,True,high,Vendor-independent verification steps must be documented.,
EAP-CTRL-004,Minimum event fields for evidence objects,Governance,True,MUST,True,high,All four required event fields must be present.,
EAP-CTRL-005,Declared ordering model,Governance,True,MUST,True,high,,
EAP-CTRL-006,Replay and duplication detection,Security,True,SHOULD,False,high,SHOULD at L2; MUST at L3.,
EAP-CTRL-007,Controlled invocation surface,Enforcement,True,MUST,True,critical,Network-level and identity-level controls both required.,
EAP-CTRL-008,Change control for enforcement layer,Enforcement,True,MUST,True,high,"Change control on gateways, registries, evaluators, and safety kernel configs.",
EAP-CTRL-009,Threat model declaration,Governance,False,N/A,False,high,Not applicable at L2.,
EAP-CTRL-010,Field-level privacy protection,Security,True,MUST,True,high,Field-level encryption or structured redaction required.,
EAP-CTRL-011,Auditor access governance,Oversight,True,MUST,True,high,Time-boxed auditor sessions and controlled export required.,
EAP-CTRL-012,Retention-by-class policy,Governance,True,MUST,True,medium,Retention-by-risk-class policy required.,
EAP-CTRL-013,Evidence store incident posture,Resilience,False,N/A,False,high,Not applicable at L2.,
EAP-CTRL-014,Bypass test suite,Forensics and Reconstruction,True,MUST,True,critical,Quarterly bypass test suite required.,
EAP-CTRL-015,Evidence reconstruction drill,Forensics and Reconstruction,True,MUST,True,high,Reconstruction drill every 6 months required.,
EAP-CTRL-016,Kill-switch test and dual-control enforcement,Resilience,True,MUST,True,critical,Kill-switch tabletop plus controlled exercise annually.,
EAP-CTRL-017,Operator-of-Record and Approver-of-Record role definitions,Oversight,True,MUST,True,high,Approver-of-Record and Evidence Custodian role definitions required.,
EAP-CTRL-018,Separation of duties,Oversight,True,MUST,True,high,OOR and AOR must be distinct identities for higher-risk actions.,
EAP-CTRL-019,Dual control for high-impact actions,Oversight,False,N/A,False,critical,Not applicable at L2.,
EAP-CTRL-020,Vendor and integration dependency documentation,Vendor and Integration,True,MUST,True,medium,,
